round,retrieval,frobenius_rel,K_eff,coverage
0,0.10175736961451248,0.926054060459137,1.0,1.0
1,0.10175736961451248,0.9269335269927979,1.0,1.0
2,0.10175736961451248,0.9267343878746033,1.0,1.0
3,0.10175736961451248,0.9265466332435608,1.0,1.0
4,0.10175736961451248,0.9266965389251709,1.0,1.0
5,0.10175736961451248,0.9269748330116272,1.0,1.0
6,0.10175736961451248,0.9262790679931641,1.0,1.0
7,0.10204081632653061,0.927175760269165,1.0,1.0
8,0.10204081632653061,0.9262086153030396,1.0,1.0
9,0.10204081632653061,0.9271695017814636,1.0,1.0
10,0.10204081632653061,0.9270516037940979,1.0,1.0
11,0.10204081632653061,0.926156759262085,1.0,1.0
