round,retrieval_mean,fro_mean,keff_mean,coverage_mean
0,0.8637037037037038,0.77159583568573,9.0,1.0
1,0.9007407407407408,0.677031397819519,9.0,1.0
2,0.9807407407407407,0.6484019160270691,9.0,1.0
3,0.9562962962962964,0.6524661183357239,9.0,1.0
4,0.965925925925926,0.6639469265937805,9.0,1.0
5,0.6059259259259259,0.6654385328292847,9.0,1.0
6,0.7570370370370371,0.6768304109573364,9.0,1.0
7,0.3911111111111111,0.698071300983429,9.0,1.0
8,0.5370370370370371,0.6753199696540833,9.0,1.0
9,0.9548148148148149,0.6722477674484253,9.0,1.0
10,0.7585185185185184,0.6575643420219421,9.0,1.0
11,0.8148148148148148,0.6834588050842285,9.0,1.0
